year	affected cell IDs (list)
1	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
2	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
3	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
4	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
5	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
6	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
7	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
8	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
9	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
10	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
11	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
12	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
13	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
14	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
15	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
16	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
17	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
18	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
19	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
20	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
21	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
22	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
